DATE,TIME,MODEL CODE,TYPE,BARCODE,SERIAL No.,PASS/NG,50Hz WATTAGE,50Hz WATTAGE FLUCTUATED,50Hz AIR VOLUME,50Hz AIR VOLUME FLUCTUATED,50Hz CLOSED PRESSURE,50Hz CLOSED PRESSURE FLUCTUATED,50Hz AMPERAGE,50Hz AMPERAGE FLUCTUATED,60Hz WATTAGE,60Hz WATTAGE FLUCTUATED,60Hz AIR VOLUME,60Hz AIR VOLUME FLUCTUATED,60Hz CLOSED PRESSURE,60Hz CLOSED PRESSURE FLUCTUATED,60Hz AMPERAGE,60Hz AMPERAGE FLUCTUATED
25/07/2025,9:02:43,120LL2400P,N,,725007422,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.20000000000000284,113.0,0.0,41.4,1.1000000000000014,0.931,0.014999999999999902
25/07/2025,9:03:46,120LL2400P,N,,725007423,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.4,1.5999999999999943,111.0,2.0,40.8,0.6000000000000014,0.908,0.02300000000000002
25/07/2025,9:05:06,120LL2400P,N,,725007424,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.5999999999999943,112.0,1.0,41.0,0.20000000000000284,0.921,0.013000000000000012
25/07/2025,10:24:09,120LL2400P,N,,725007425,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.1,2.0999999999999943,114.0,2.0,42.2,1.2000000000000028,0.949,0.027999999999999914
25/07/2025,10:25:06,120LL2400P,N,,725007426,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.8,0.29999999999999716,113.0,1.0,42.3,0.09999999999999432,0.947,0.0020000000000000018
25/07/2025,10:45:48,120LL2400P,N,,725007427,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.2,1.5999999999999943,112.0,1.0,41.9,0.3999999999999986,0.932,0.014999999999999902
25/07/2025,10:47:56,120LL2400P,N,,725007428,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.1,0.8999999999999915,113.0,1.0,41.2,0.6999999999999957,0.933,0.0010000000000000009
25/07/2025,10:48:57,120LL2400P,N,,725007429,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.5,1.5999999999999943,112.0,1.0,42.0,0.7999999999999972,0.923,0.010000000000000009
25/07/2025,10:52:02,120LL2400P,N,,725007430,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.7,0.20000000000000284,112.0,0.0,41.2,0.7999999999999972,0.914,0.009000000000000008
25/07/2025,10:54:31,120LL2400P,N,,725007431,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.8,0.09999999999999432,112.0,0.0,41.6,0.3999999999999986,0.918,0.0040000000000000036
